benchmark,case_index,cells_per_side,cell_a,cell_b,current_mismatch,admissible_root_count,dense_minimum_mismatch,dense_minimum_parameter
ellipses,3,64,"(39, 48)","(39, 49)",0.00550448843973358,0,0.00550448843973358,0.9664569044417113
ellipses,3,64,"(40, 19)","(40, 20)",1.058093224147386e-10,2,0.0,0.8457116866887964
ellipses,3,64,"(40, 20)","(40, 21)",1.3057116969624798e-11,1,0.0,0.30746917256911277
ellipses,3,64,"(40, 21)","(41, 21)",7.375060490572674e-11,1,0.0,0.6132685951179746
ellipses,3,64,"(40, 46)","(41, 46)",4.415852462077404e-11,1,0.0,0.4350472893085498
ellipses,3,64,"(40, 46)","(40, 47)",8.277171154583563e-12,1,0.0,0.34972083538716103
ellipses,3,64,"(41, 21)","(41, 22)",3.152174536127297e-10,2,0.0,0.8389886859229773
ellipses,3,64,"(41, 22)","(41, 23)",4.472333740977609e-12,1,0.0,0.30256309864383185
ellipses,3,64,"(41, 23)","(41, 24)",1.143193782214566e-12,2,0.0,0.5612679469864997
ellipses,3,64,"(41, 24)","(42, 24)",3.3419074226334217e-12,2,0.0,0.18205261080064702
ellipses,3,64,"(41, 44)","(42, 44)",1.3275619287220521e-11,1,0.0,0.42827119985743595
ellipses,3,64,"(41, 44)","(41, 45)",9.063672087217794e-12,2,0.0,0.251727706659758
ellipses,3,64,"(41, 45)","(41, 46)",2.4273468382453224e-11,2,0.0,0.7536756178313317
ellipses,3,64,"(42, 24)","(42, 25)",3.9278025338611136e-11,1,0.0,0.6582526065156435
ellipses,3,64,"(42, 25)","(42, 26)",1.226169676330474e-11,1,0.0,0.3802221591150555
ellipses,3,64,"(42, 26)","(42, 27)",4.000076455153982e-12,2,0.0,0.11218859711660116
ellipses,3,64,"(42, 27)","(43, 27)",3.354741531939067e-11,1,0.0,0.4786414941973135
ellipses,3,64,"(42, 41)","(43, 41)",7.2432275573913e-12,1,0.0,0.40320548885044444
ellipses,3,64,"(42, 41)","(42, 42)",2.6611055510109776e-13,2,0.0,0.15873778967015822
ellipses,3,64,"(42, 42)","(42, 43)",3.5873977868451187e-12,1,0.0,0.4646750845773295
ellipses,3,64,"(42, 43)","(42, 44)",2.8563566702667386e-10,2,0.0,0.8262102988896731
ellipses,3,64,"(43, 27)","(43, 28)",9.980137164872273e-11,2,0.0,0.8853539771282704
ellipses,3,64,"(43, 28)","(43, 29)",1.3025534792653166e-11,1,0.0,0.6916390343067996
ellipses,3,64,"(43, 29)","(43, 30)",7.50205878608929e-12,1,0.0,0.5304913643198507
ellipses,3,64,"(43, 30)","(43, 31)",2.7404551309852287e-12,1,0.0,0.4013163972128041
ellipses,3,64,"(43, 31)","(43, 32)",2.9170690734330523e-13,1,0.0,0.30361686327814824
ellipses,3,64,"(43, 32)","(43, 33)",3.885794724855532e-13,2,0.0,0.23721243045074517
ellipses,3,64,"(43, 33)","(43, 34)",1.260232793752342e-11,2,0.0,0.20216806867008016
ellipses,3,64,"(43, 34)","(43, 35)",1.2947174559306601e-11,2,0.0,0.19881385008538927
