method,variant,benchmark,case_index,cells_per_side,cell_size,geometry_file,metric_status,native_symmetric_hausdorff,native_reconstruction_to_truth,native_truth_to_reconstruction,geometric_curvature_mean_absolute_error,geometric_curvature_rms_error,geometric_curvature_max_absolute_error,geometric_curvature_relative_l1_error,geometric_curvature_reconstructed_length,geometric_curvature_quadrature_samples
PCIC,bare PCIC (radius adjustment),circles,4,64,1.5625,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/adjust_radius_circles_N64_case04.json,complete,0.004042147562898041,0.0017202050302271325,0.004042147562898041,0.0016847724737686452,0.002247478261282155,0.007375924503333173,0.01684772473768642,62.81350757207641,832
PCIC,bare PCIC (radius adjustment),circles,0,128,0.78125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/adjust_radius_circles_N128_case00.json,complete,0.004431735892723999,0.0008405941847341623,0.004431735892723999,0.0013362514110644723,0.0019361504583699392,0.006085461846414245,0.013362514110644671,62.82679484969796,1632
PCIC,bare PCIC (radius adjustment),circles,1,128,0.78125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/adjust_radius_circles_N128_case01.json,complete,0.021065553662146814,0.0005499990243965586,0.021065553662146814,0.0012693412659818785,0.001907707648127426,0.011963341259460802,0.012693412659818763,62.789047982950436,1584
PCIC,bare PCIC (radius adjustment),circles,2,128,0.78125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/adjust_radius_circles_N128_case02.json,complete,0.027578756788761014,0.0006396382908079571,0.027578756788761014,0.0013377947230714306,0.0018848558967863086,0.00682907870169093,0.013377947230714324,62.776640914541964,1616
PCIC,bare PCIC (radius adjustment),circles,3,128,0.78125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/adjust_radius_circles_N128_case03.json,complete,0.0030360786555262416,0.0030360786555262416,0.003001614705146652,0.0016542376615974771,0.0026309923384055297,0.013192023782882797,0.016542376615974744,62.83304269605184,1664
PCIC,bare PCIC (radius adjustment),circles,4,128,0.78125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/adjust_radius_circles_N128_case04.json,complete,0.009604966396249304,0.001602711709308633,0.009604966396249304,0.0014918043261585546,0.0020591026293166896,0.007054593079784635,0.014918043261585565,62.82179308109775,1648
PCIC,bare PCIC (radius adjustment),ellipses,0,32,3.125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/adjust_radius_ellipses_N32_case00.json,complete,0.021186203262192064,0.021186203262192064,0.020754452908278872,0.001489861466239078,0.0021738434955527407,0.00849747118001,0.03761550060204258,158.6585194731783,1024
PCIC,bare PCIC (radius adjustment),ellipses,1,32,3.125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/adjust_radius_ellipses_N32_case01.json,complete,0.020151715762799255,0.01989337906169521,0.020151715762799255,0.0017705997518745924,0.0026443703491728894,0.010139620711381955,0.04407567167409831,156.433765590268,992
PCIC,bare PCIC (radius adjustment),ellipses,2,32,3.125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/adjust_radius_ellipses_N32_case02.json,complete,0.01818649648269306,0.016459421182818117,0.01818649648269306,0.0017702829162864156,0.0025387730290461915,0.00955666893551703,0.0434900149136527,154.44628265157112,992
PCIC,bare PCIC (radius adjustment),ellipses,3,32,3.125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/adjust_radius_ellipses_N32_case03.json,complete,0.03420746958161928,0.03420746958161928,0.03410150713600359,0.001907272338681338,0.00286200442380252,0.01285208485072558,0.04629980780045773,152.56206288221128,960
PCIC,bare PCIC (radius adjustment),ellipses,4,32,3.125,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/adjust_radius_ellipses_N32_case04.json,complete,0.03877090641698791,0.026969528451396413,0.03877090641698791,0.002035057723116217,0.003181288444016133,0.014043004369443363,0.04888461331486765,150.85843687352366,992
PCIC,bare PCIC (radius adjustment),ellipses,0,64,1.5625,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/adjust_radius_ellipses_N64_case00.json,complete,0.002844619259856861,0.002844619259856861,0.002826570289401135,0.0008369087835429049,0.0012145697668995256,0.008954193918085572,0.021131669685075263,158.65850536492982,2048
PCIC,bare PCIC (radius adjustment),ellipses,1,64,1.5625,experiments/baselines/results/pcic_project_smoke_20260813_final/geometry/adjust_radius_ellipses_N64_case01.json,complete,0.0027553493656467458,0.0027553493656467458,0.00240899254709485,0.0008161038990642998,0.0011560533317336171,0.004744241343838329,0.02031673790877948,156.44261839415836,2016
