benchmark,sweep,cases,max_update_displacement_median,max_update_displacement_q25,max_update_displacement_q75,max_net_endpoint_displacement_median,max_net_endpoint_displacement_q25,max_net_endpoint_displacement_q75,max_two_sweep_endpoint_displacement_median,max_two_sweep_endpoint_displacement_q25,max_two_sweep_endpoint_displacement_q75,max_c1_mismatch_after_median,max_c1_mismatch_after_q25,max_c1_mismatch_after_q75,max_area_residual_median,max_area_residual_q25,max_area_residual_q75,misses_median,misses_total,root_branch_switches_median,root_branch_switches_total,multiple_root_updates_median,multiple_root_updates_total
ellipses,55,5,2.8438189303425787e-11,2.063522963613451e-11,1.0746299683450644e-10,2.843592028511921e-11,2.063416104647331e-11,1.0746248335635755e-10,1.099209612220875e-11,0.0,3.1164404390437994e-11,2.1605134117644125e-05,1.3390897071742292e-06,0.8932353858592709,2.220446049250313e-16,1.1102230246251565e-16,2.220446049250313e-16,2.0,16,0.0,0,45.0,225
ellipses,56,5,3.1166779226876606e-11,2.8436801524645006e-11,1.0185966653475376e-10,3.1164404390437994e-11,2.843592028511921e-11,1.0185985388488916e-10,6.760814130757353e-12,0.0,4.18651779909851e-11,2.1605134117644125e-05,1.3390524837139354e-06,0.8932353858592709,5.551115123125783e-17,2.117582368135751e-21,1.1102230246251565e-16,2.0,16,0.0,0,45.0,225
ellipses,57,5,4.1870933803478394e-11,2.8438189303425787e-11,2.0932439809273617e-10,4.18651779909851e-11,2.843592028511921e-11,2.0932233724124671e-10,1.0700773600547109e-11,0.0,1.099209612220875e-11,2.1605134117644125e-05,1.3390209931239711e-06,0.8932353858592709,2.220446049250313e-16,1.1102230246251565e-16,2.220446049250313e-16,2.0,16,0.0,0,45.0,225
ellipses,58,5,2.8436801524645006e-11,2.0629158103968592e-11,1.0746299683450644e-10,2.843592028511921e-11,2.063416104647331e-11,1.0746248335635755e-10,6.760814130757353e-12,0.0,3.1164404390437994e-11,2.1605134117644125e-05,1.3390896584215475e-06,0.8932353858592709,5.551115123125783e-17,2.117582368135751e-21,1.1102230246251565e-16,2.0,16,0.0,0,45.0,225
ellipses,59,5,3.1166779226876606e-11,2.8438189303425787e-11,1.0185966653475376e-10,3.1164404390437994e-11,2.843592028511921e-11,1.0185985388488916e-10,1.099209612220875e-11,0.0,4.18651779909851e-11,2.1605134117644125e-05,1.3390525324050605e-06,0.8932353858592709,2.220446049250313e-16,1.1102230246251565e-16,2.220446049250313e-16,2.0,16,0.0,0,45.0,225
ellipses,60,5,4.1870933803478394e-11,2.8436801524645006e-11,2.0932439809273617e-10,4.18651779909851e-11,2.843592028511921e-11,2.0932233724124671e-10,6.760814130757353e-12,0.0,1.0700773600547109e-11,2.1605134117644125e-05,1.3390209444328459e-06,0.8932353858592709,5.551115123125783e-17,2.117582368135751e-21,1.1102230246251565e-16,2.0,16,0.0,0,45.0,225
ellipses,61,5,2.8438189303425787e-11,2.063522963613451e-11,1.0746299683450644e-10,2.843592028511921e-11,2.063416104647331e-11,1.0746248335635755e-10,1.099209612220875e-11,0.0,3.1164404390437994e-11,2.1605134117644125e-05,1.3390897071742292e-06,0.8932353858592709,2.220446049250313e-16,1.1102230246251565e-16,2.220446049250313e-16,2.0,16,0.0,0,45.0,225
ellipses,62,5,3.1166779226876606e-11,2.8436801524645006e-11,1.0185966653475376e-10,3.1164404390437994e-11,2.843592028511921e-11,1.0185985388488916e-10,6.760814130757353e-12,0.0,4.18651779909851e-11,2.1605134117644125e-05,1.3390524837139354e-06,0.8932353858592709,5.551115123125783e-17,2.117582368135751e-21,1.1102230246251565e-16,2.0,16,0.0,0,45.0,225
ellipses,63,5,4.1870933803478394e-11,2.8438189303425787e-11,2.0932439809273617e-10,4.18651779909851e-11,2.843592028511921e-11,2.0932233724124671e-10,1.0700773600547109e-11,0.0,1.099209612220875e-11,2.1605134117644125e-05,1.3390209931239711e-06,0.8932353858592709,2.220446049250313e-16,1.1102230246251565e-16,2.220446049250313e-16,2.0,16,0.0,0,45.0,225
ellipses,64,5,2.8436801524645006e-11,2.0629158103968592e-11,1.0746299683450644e-10,2.843592028511921e-11,2.063416104647331e-11,1.0746248335635755e-10,6.760814130757353e-12,0.0,3.1164404390437994e-11,2.1605134117644125e-05,1.3390896584215475e-06,0.8932353858592709,5.551115123125783e-17,2.117582368135751e-21,1.1102230246251565e-16,2.0,16,0.0,0,45.0,225
ellipses,65,5,3.1166779226876606e-11,2.8438189303425787e-11,1.0185966653475376e-10,3.1164404390437994e-11,2.843592028511921e-11,1.0185985388488916e-10,1.099209612220875e-11,0.0,4.18651779909851e-11,2.1605134117644125e-05,1.3390525324050605e-06,0.8932353858592709,2.220446049250313e-16,1.1102230246251565e-16,2.220446049250313e-16,2.0,16,0.0,0,45.0,225
ellipses,66,5,4.1870933803478394e-11,2.8436801524645006e-11,2.0932439809273617e-10,4.18651779909851e-11,2.843592028511921e-11,2.0932233724124671e-10,6.760814130757353e-12,0.0,1.0700773600547109e-11,2.1605134117644125e-05,1.3390209444328459e-06,0.8932353858592709,5.551115123125783e-17,2.117582368135751e-21,1.1102230246251565e-16,2.0,16,0.0,0,45.0,225
