benchmark,case_index,cells_per_side,sweep,updates,misses,multiple_root_updates,root_branch_switches,max_update_displacement,mean_update_displacement,max_net_endpoint_displacement,max_two_sweep_endpoint_displacement,mean_c1_mismatch_before,max_c1_mismatch_before,mean_c1_mismatch_after,max_c1_mismatch_after,max_area_residual
zalesak,3,64,17,113,1,59,0,3.749380171041289e-05,5.749410828086089e-07,3.7493801713139874e-05,0.00015171425999938037,2.908287562491517e-06,0.00011079761470715747,1.5566585429181162e-06,0.00010487471261975854,5.551115123125783e-17
zalesak,3,64,18,113,1,59,0,1.0683835032290756e-05,1.784979017756498e-07,1.0683835029112743e-05,4.8177636742252616e-05,1.5566585429181162e-06,0.00010487471261975854,1.1186419882163322e-06,0.00010487430016030416,5.551115123125783e-17
zalesak,3,64,19,113,1,59,0,2.845957211561334e-06,5.4699843473009826e-08,2.8459572121164456e-06,1.3529792241229188e-05,1.1186419882163322e-06,0.00010487430016030416,9.81727901346462e-07,0.00010487424999133267,5.551115123125783e-17
zalesak,3,64,20,113,1,59,0,7.30539430338073e-07,1.6798537765347576e-08,7.305394333911863e-07,3.576496645507632e-06,9.81727901346462e-07,0.00010487424999133267,9.393466382864564e-07,0.00010487425890363859,5.551115123125783e-17
zalesak,3,64,21,113,1,59,0,1.831859169562633e-07,5.1669759613376665e-09,1.8318591799015849e-07,9.137253513813448e-07,9.393466382864564e-07,0.00010487425890363859,9.26227835871664e-07,0.00010487426115169632,5.551115123125783e-17
zalesak,3,64,22,113,1,59,0,4.546174652009238e-08,1.649617115277374e-09,4.546174636743672e-08,2.286476643575952e-07,9.26227835871664e-07,0.00010487426115169632,9.220869360263788e-07,0.00010487426115169632,5.551115123125783e-17
zalesak,3,64,23,113,1,59,0,1.1220844219061998e-08,5.337846603240116e-10,1.1220841145131999e-08,5.6682587512568716e-08,9.220869360263788e-07,0.00010487426115169632,9.207740451544017e-07,0.00010487426115169632,5.551115123125783e-17
zalesak,3,64,24,113,1,59,0,4.1982337745105625e-09,1.690808220065591e-10,4.198234648811194e-09,1.3850680602445209e-08,9.207740451544017e-07,0.00010487426115169632,9.203613512237263e-07,0.00010487426115169632,5.551115123125783e-17
zalesak,3,64,25,113,1,59,0,1.6061603436146044e-09,5.4620536522923744e-11,1.6061605379036337e-09,5.804395186714828e-09,9.203613512237263e-07,0.00010487426115169632,9.202412079071171e-07,0.00010487426115169632,5.551115123125783e-17
zalesak,3,64,26,113,1,59,0,5.248856904671584e-10,1.4469178355919014e-11,5.248850243333436e-10,2.1310455622369773e-09,9.202412079071171e-07,0.00010487426115169632,9.202006320522023e-07,0.00010487426115169632,5.551115123125783e-17
zalesak,3,64,27,113,1,59,0,2.110046512515673e-10,4.816323294280643e-12,2.1100277081131935e-10,7.35887795144663e-10,9.202006320522023e-07,0.00010487426115169632,9.201957525063571e-07,0.00010487426115169632,5.551115123125783e-17
zalesak,3,64,28,113,1,59,0,8.91632254140795e-11,2.378348102285963e-12,8.916600791053497e-11,2.1888268975089886e-10,9.201957525063571e-07,0.00010487426115169632,9.201925895837878e-07,0.00010487426115169632,5.551115123125783e-17
zalesak,3,64,29,113,1,59,0,3.527594882868357e-11,1.2979203925671317e-12,3.5278446830488974e-11,8.772360615694197e-11,9.201925895837878e-07,0.00010487426115169632,9.201935296322124e-07,0.00010487426115169632,5.551115123125783e-17
zalesak,3,64,30,113,1,59,0,3.527577535633597e-11,9.567515205911758e-13,3.5278446830488974e-11,2.7682744985213503e-11,9.201935296322124e-07,0.00010487426115169632,9.201919518121403e-07,0.00010487426115169632,5.551115123125783e-17
